"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.170871440E-1,-5.770025849E-1,1.004607010E1,1.616086066E-2,1.006263969E1
7.220548010E-1,-5.434837937E-1,1.001733971E1,-1.735796221E-2,1.003208706E1
7.270224570E-1,-5.147533417E-1,9.983820915E0,-4.608838260E-2,9.997188365E0
7.319901130E-1,-4.620809257E-1,9.964667320E0,-7.003039867E-2,9.975621176E0
7.369577690E-1,-4.333505034E-1,9.945513725E0,-8.918401599E-2,9.955349803E0
7.419254260E-1,-3.854664862E-1,9.940725327E0,-1.131260321E-1,9.948839225E0
7.468930820E-1,-3.519476354E-1,9.892841339E0,-1.274912357E-1,9.899920753E0
7.518607900E-1,-3.232172430E-1,9.859322548E0,-1.370680481E-1,9.865571354E0
7.568284990E-1,-2.896983922E-1,9.811438560E0,-1.466448605E-1,9.816809894E0
7.617962070E-1,-2.466027737E-1,9.768342972E0,-1.514332592E-1,9.772628581E0
7.667639150E-1,-2.082955539E-1,9.706093788E0,-1.610100716E-1,9.709663635E0
7.717316240E-1,-1.604115069E-1,9.686940193E0,-1.657984704E-1,9.689686852E0
7.766993320E-1,-1.077390760E-1,9.648633003E0,-1.753752679E-1,9.650828100E0
7.816670400E-1,-6.943184882E-2,9.586383820E0,-1.753752679E-1,9.588239255E0
7.866347490E-1,-3.591302410E-2,9.543288231E0,-1.801636815E-1,9.545056257E0
7.916024570E-1,-1.675941236E-2,9.504981041E0,-1.753752679E-1,9.506613590E0
7.965701650E-1,3.112462163E-2,9.457097054E0,-1.657984704E-1,9.458601512E0
8.015378740E-1,4.070143029E-2,9.418789864E0,-1.705868691E-1,9.420422442E0
8.065055820E-1,6.943184882E-2,9.394847870E0,-1.753752679E-1,9.396741125E0
8.114732900E-1,1.125274822E-1,9.390059471E0,-1.897404790E-1,9.392650358E0
8.164409990E-1,1.556231081E-1,9.351752281E0,-1.945288926E-1,9.355069790E0
8.214087070E-1,1.795651317E-1,9.327810287E0,-1.801636815E-1,9.331277905E0
8.263764150E-1,1.891419291E-1,9.308655739E0,-1.945288926E-1,9.312609077E0
8.313441240E-1,2.130839527E-1,9.275136948E0,-1.801636815E-1,9.279333442E0
8.363118320E-1,2.226607651E-1,9.227252960E0,-1.849520802E-1,9.231791932E0
8.412795400E-1,2.322375625E-1,9.203310966E0,-1.610100716E-1,9.207648520E0
8.462472490E-1,2.274491638E-1,9.165003777E0,-1.466448605E-1,9.168998422E0
8.512149570E-1,2.561795712E-1,9.169792175E0,-1.418564469E-1,9.174466729E0
8.561826650E-1,2.657563984E-1,9.141061783E0,-1.466448605E-1,9.146099808E0
8.611503740E-1,2.466027737E-1,9.117119789E0,-1.418564469E-1,9.121557401E0
8.661180820E-1,2.513911724E-1,9.121908188E0,-1.370680481E-1,9.126400942E0
8.710857900E-1,2.466027737E-1,9.117119789E0,-1.274912357E-1,9.121345306E0
8.760534990E-1,2.370259613E-1,9.126696587E0,-1.274912357E-1,9.130664045E0
8.810212070E-1,2.370259613E-1,9.117119789E0,-1.227028370E-1,9.121025740E0
8.859889150E-1,2.274491638E-1,9.121908188E0,-1.083376259E-1,9.125386521E0
8.909566240E-1,2.226607651E-1,9.136273384E0,-1.131260321E-1,9.139686355E0
8.959243320E-1,2.082955539E-1,9.150638580E0,-1.131260321E-1,9.153708045E0
9.008920400E-1,1.843535304E-1,9.155426979E0,-9.876082093E-2,9.157815411E0
9.058597490E-1,1.843535304E-1,9.174580574E0,-8.439560980E-2,9.176820667E0
9.108274570E-1,1.699883193E-1,9.184157372E0,-8.918401599E-2,9.186163315E0
9.157951650E-1,1.699883193E-1,9.184157372E0,-7.960720360E-2,9.186075330E0
9.207628740E-1,1.508347094E-1,9.203310966E0,-6.045359373E-2,9.204745433E0
9.257305820E-1,1.460463107E-1,9.198522568E0,-4.129998013E-2,9.199774597E0
9.306982900E-1,1.508347094E-1,9.198522568E0,-4.129998013E-2,9.199851859E0
9.356659990E-1,1.508347094E-1,9.193734169E0,-2.693476900E-2,9.195010852E0
9.406337070E-1,1.412578970E-1,9.188945770E0,-2.693476900E-2,9.190070927E0
9.456014150E-1,1.460463107E-1,9.193734169E0,-2.214636654E-2,9.194920769E0
9.505691240E-1,1.316810995E-1,9.188945770E0,-2.992752008E-3,9.189889729E0
9.555368320E-1,1.268926859E-1,9.188945770E0,6.584054790E-3,9.189824235E0
9.605045400E-1,1.316810995E-1,9.198522568E0,6.584054790E-3,9.199467413E0
9.654722490E-1,1.316810995E-1,9.193734169E0,-2.992752008E-3,9.194677636E0
9.704399570E-1,1.268926859E-1,9.208099365E0,1.795651275E-3,9.208973824E0
9.754076650E-1,1.268926859E-1,9.208099365E0,6.584054790E-3,9.208976003E0
9.803753740E-1,1.364694983E-1,9.208099365E0,1.795651275E-3,9.209110764E0
9.853430820E-1,1.364694983E-1,9.208099365E0,1.137245819E-2,9.209117611E0
9.903107900E-1,1.316810995E-1,9.217676163E0,2.094926499E-2,9.218640498E0
9.952784990E-1,1.316810995E-1,9.236829758E0,3.052607179E-2,9.237818775E0
1.000246155E0,1.364694983E-1,9.246406555E0,3.052607179E-2,9.247463974E0
1.005213811E0,1.364694983E-1,9.265560150E0,4.489128292E-2,9.266673839E0
1.010181467E0,1.460463107E-1,9.289502144E0,5.446808785E-2,9.290809781E0
1.015149124E0,1.508347094E-1,9.303867340E0,5.925649032E-2,9.305278605E0
1.020116780E0,1.460463107E-1,9.323021889E0,6.883329898E-2,9.324419804E0
1.025084436E0,1.604115069E-1,9.356540680E0,6.404489279E-2,9.358134809E0
1.030052092E0,1.651999205E-1,9.380482674E0,6.404489279E-2,9.382155826E0
1.035019749E0,1.604115069E-1,9.409213066E0,6.883329898E-2,9.410832078E0
1.039987405E0,1.604115069E-1,9.437943459E0,6.404489279E-2,9.439523840E0
1.044955061E0,1.699883193E-1,9.466673851E0,6.404489279E-2,9.468416530E0
1.049922717E0,1.699883193E-1,9.490615845E0,8.319851011E-2,9.492502680E0
1.054890374E0,1.556231081E-1,9.500192642E0,8.798690885E-2,9.501874578E0
1.059858030E0,1.508347094E-1,9.509769440E0,1.023521200E-1,9.511516276E0
1.064825686E0,1.412578970E-1,9.524134636E0,1.167173311E-1,9.525897191E0
1.069793342E0,1.268926859E-1,9.533711433E0,1.358709484E-1,9.535523917E0
1.074760999E0,1.029506698E-1,9.543288231E0,1.406593472E-1,9.544879997E0
