"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.863769990E-1,-5.817909837E-1,1.000297451E1,-4.129998013E-2,1.001996435E1
7.913447600E-1,-5.913678408E-1,9.993397713E0,-4.608838260E-2,1.001098586E1
7.963125200E-1,-6.057330370E-1,9.993397713E0,-3.651157767E-2,1.001180520E1
8.012802810E-1,-6.009446383E-1,9.998186111E0,-3.651157767E-2,1.001629638E1
8.062480410E-1,-6.009446383E-1,9.998186111E0,-3.651157767E-2,1.001629638E1
8.112158010E-1,-5.913678408E-1,1.001255131E1,-3.172317147E-2,1.003005015E1
8.161835620E-1,-5.674257874E-1,9.993397713E0,-1.256955881E-2,1.000950188E1
8.211513220E-1,-5.482721925E-1,1.001255131E1,1.795651275E-3,1.002755151E1
8.261190830E-1,-5.195417404E-1,9.998186111E0,6.584054790E-3,1.001167781E1
8.310868430E-1,-4.908113480E-1,9.998186111E0,1.616086066E-2,1.001023888E1
8.360546030E-1,-4.572925270E-1,9.998186111E0,4.010287672E-2,1.000871871E1
8.410223640E-1,-4.141969085E-1,1.000297451E1,4.967968538E-2,1.001166950E1
8.459901240E-1,-3.806780577E-1,9.993397713E0,7.841010392E-2,1.000095304E1
8.509578850E-1,-3.280056417E-1,9.988609314E0,8.319851011E-2,9.994339684E0
8.559256450E-1,-2.753331959E-1,9.979032516E0,1.119289324E-1,9.983457638E0
8.608934060E-1,-2.274491638E-1,9.974244118E0,1.310825497E-1,9.977698205E0
8.658611660E-1,-1.651999205E-1,9.974244118E0,1.454477459E-1,9.976672380E0
8.708289260E-1,-1.077390760E-1,9.945513725E0,1.598129570E-1,9.947381120E0
8.757966870E-1,-4.070143029E-2,9.940725327E0,1.837549806E-1,9.942506853E0
8.807644470E-1,2.154781483E-2,9.926360130E0,1.981201917E-1,9.928360457E0
8.857322080E-1,8.858546615E-2,9.911994934E0,2.124854028E-1,9.914667972E0
8.906999680E-1,1.460463107E-1,9.883264542E0,2.412158251E-1,9.887286412E0
8.956677280E-1,1.987187415E-1,9.873687744E0,2.555810213E-1,9.878993899E0
9.006354890E-1,2.849099934E-1,9.849745750E0,2.795230448E-1,9.857829284E0
9.056032490E-1,3.327940404E-1,9.821015358E0,2.890998423E-1,9.830903990E0
9.105710100E-1,3.854664862E-1,9.797073364E0,2.938882709E-1,9.809057102E0
9.155387700E-1,4.477157295E-1,9.782708168E0,3.130418658E-1,9.797949974E0
9.205065310E-1,5.051765442E-1,9.753977776E0,3.321954906E-1,9.772698687E0
9.254742910E-1,5.386953950E-1,9.730035782E0,3.417722881E-1,9.750928025E0
9.304420510E-1,5.865794420E-1,9.696516991E0,3.513490856E-1,9.720594805E0
9.354098120E-1,6.248866320E-1,9.677363396E0,3.513490856E-1,9.703880243E0
9.403775720E-1,6.536170840E-1,9.653421402E0,3.657143116E-1,9.682432908E0
9.453453330E-1,6.871358752E-1,9.639056206E0,3.657143116E-1,9.670434696E0
9.503130930E-1,7.110779285E-1,9.619902611E0,3.752911091E-1,9.653445057E0
9.552808530E-1,7.254431248E-1,9.600749016E0,3.896563351E-1,9.635999245E0
9.602486140E-1,7.445967197E-1,9.605537415E0,3.657143116E-1,9.641292458E0
9.652163740E-1,7.493851185E-1,9.605537415E0,3.944447339E-1,9.642795950E0
9.701841350E-1,7.445967197E-1,9.600749016E0,3.848679364E-1,9.637267728E0
9.751518950E-1,7.493851185E-1,9.591172218E0,3.848679364E-1,9.628098769E0
9.801196560E-1,7.350199223E-1,9.595960617E0,3.848679364E-1,9.631761925E0
9.850874160E-1,7.158663273E-1,9.610325813E0,3.657143116E-1,9.643887898E0
9.900551760E-1,7.062895298E-1,9.629479408E0,3.657143116E-1,9.662270206E0
9.950229370E-1,6.727706790E-1,9.648633003E0,3.609259129E-1,9.678791595E0
9.999906970E-1,6.440402865E-1,9.658209801E0,3.513490856E-1,9.686033792E0
1.004958458E0,6.153098345E-1,9.682151794E0,3.465606868E-1,9.707871748E0
1.009926218E0,5.817909837E-1,9.710882187E0,3.369838893E-1,9.734129223E0
1.014893978E0,5.243301988E-1,9.734824181E0,3.226186931E-1,9.754271208E0
1.019861739E0,4.812345505E-1,9.773131371E0,3.178302646E-1,9.790132765E0
1.024829499E0,4.285621047E-1,9.792284966E0,3.034650683E-1,9.806355152E0
1.029797260E0,3.806780577E-1,9.825803757E0,2.890998423E-1,9.837424153E0
1.034765020E0,3.184288144E-1,9.849745750E0,2.651578486E-1,9.858458142E0
1.039732781E0,2.705447972E-1,9.878476143E0,2.460042238E-1,9.885241700E0
1.044700593E0,2.130839527E-1,9.883264542E0,2.316390127E-1,9.888274845E0
1.049668406E0,1.460463107E-1,9.916783333E0,2.172738016E-1,9.920238359E0
1.054636218E0,8.858546615E-2,9.955090523E0,1.933317930E-1,9.957361693E0
1.059604031E0,1.675941236E-2,9.950302124E0,1.741781682E-1,9.951840597E0
1.064571843E0,-3.591302410E-2,9.974244118E0,1.598129570E-1,9.975588987E0
1.069539656E0,-8.858546615E-2,9.983820915E0,1.406593472E-1,9.985204680E0
1.074507468E0,-1.508347094E-1,9.998186111E0,1.310825497E-1,1.000018296E1
1.079475281E0,-2.035071403E-1,1.000776291E1,1.023521200E-1,1.001035512E1
1.084443093E0,-2.513911724E-1,1.002212811E1,9.756372124E-2,1.002575523E1
1.089410906E0,-3.088520169E-1,1.001255131E1,7.841010392E-2,1.001762055E1
1.094378718E0,-3.471592367E-1,1.001733971E1,7.841010392E-2,1.002366013E1
1.099346531E0,-3.902548850E-1,1.002212811E1,6.883329898E-2,1.002995955E1
1.104314343E0,-4.189853072E-1,1.001733971E1,4.967968538E-2,1.002622120E1
1.109282156E0,-4.429273009E-1,1.002212811E1,4.967968538E-2,1.003203391E1
1.114249968E0,-4.860229492E-1,1.001255131E1,3.531447425E-2,1.002440268E1
1.119217781E0,-5.003881454E-1,1.000776291E1,2.094926499E-2,1.002028670E1
1.124185593E0,-5.291185975E-1,1.000776291E1,2.573766746E-2,1.002177366E1
1.129153406E0,-5.291185975E-1,9.998186111E0,1.616086066E-2,1.001219023E1
1.134121218E0,-5.386953950E-1,9.998186111E0,2.094926499E-2,1.001270978E1
1.139089031E0,-5.386953950E-1,1.000297451E1,2.573766746E-2,1.001750239E1
1.144056843E0,-5.386953950E-1,9.988609314E0,3.052607179E-2,1.000317153E1
